        4096	DH
56.619867      39.514791      71.902145
58.083074      37.500860      70.464916
60.450591      38.270113      71.902145
61.913797      36.256183      70.464916
64.281315      37.025436      71.902145
65.744521      35.011505      70.464916
68.112039      35.780758      71.902145
69.575245      33.766827      70.464916
71.942762      34.536081      71.902145
73.405969      32.522150      70.464916
55.715556      36.731607      69.027686
57.178762      34.717677      67.590456
59.546280      35.486930      69.027686
61.009486      33.472999      67.590456
63.377004      34.242252      69.027686
64.840210      32.228321      67.590456
67.207727      32.997574      69.027686
68.670934      30.983644      67.590456
71.038451      31.752897      69.027686
72.501657      29.738966      67.590456
74.869175      30.508219      69.027686
58.641969      32.703746      66.153226
60.105175      30.689815      64.715996
62.472692      31.459068      66.153226
63.935899      29.445138      64.715996
66.303416      30.214391      66.153226
67.766622      28.200460      64.715996
70.134140      28.969713      66.153226
61.568381      28.675885      63.278766
63.031588      26.661954      61.841536
65.399105      27.431207      63.278766
62.604630      51.416779      79.088295
64.972147      52.186032      80.525525
66.435353      50.172101      79.088295
57.869595      49.878273      76.213835
60.237112      50.647526      77.651065
61.700319      48.633595      76.213835
64.067836      49.402848      77.651065
65.531042      47.388918      76.213835
67.898560      48.158171      77.651065
69.361766      46.144240      76.213835
53.134560      48.339767      73.339375
55.502077      49.109020      74.776605
56.965284      47.095089      73.339375
59.332801      47.864342      74.776605
60.796007      45.850411      73.339375
63.163525      46.619664      74.776605
64.626731      44.605734      73.339375
66.994249      45.374987      74.776605
68.457455      43.361056      73.339375
70.824972      44.130309      74.776605
72.288179      42.116379      73.339375
48.399525      46.801260      70.464916
50.767042      47.570514      71.902145
52.230249      45.556583      70.464916
54.597766      46.325836      71.902145
56.060972      44.311905      70.464916
58.428490      45.081158      71.902145
59.891696      43.067228      70.464916
62.259214      43.836481      71.902145
63.722420      41.822550      70.464916
66.089937      42.591803      71.902145
67.553144      40.577872      70.464916
69.920661      41.347126      71.902145
71.383867      39.333195      70.464916
73.751385      40.102448      71.902145
75.214591      38.088517      70.464916
49.862731      44.787330      69.027686
51.325937      42.773399      67.590456
53.693455      43.542652      69.027686
55.156661      41.528722      67.590456
57.524179      42.297975      69.027686
58.987385      40.284044      67.590456
61.354902      41.053297      69.027686
62.818109      39.039366      67.590456
65.185626      39.808619      69.027686
66.648832      37.794689      67.590456
69.016350      38.563942      69.027686
70.479556      36.550011      67.590456
72.847074      37.319264      69.027686
74.310280      35.305334      67.590456
76.677797      36.074587      69.027686
52.789144      40.759469      66.153226
54.252350      38.745538      64.715996
56.619867      39.514791      66.153226
58.083074      37.500860      64.715996
60.450591      38.270113      66.153226
61.913797      36.256183      64.715996
64.281315      37.025436      66.153226
65.744521      35.011505      64.715996
68.112039      35.780758      66.153226
69.575245      33.766827      64.715996
71.942762      34.536081      66.153226
55.715556      36.731607      63.278766
57.178762      34.717677      61.841536
59.546280      35.486930      63.278766
61.009486      33.472999      61.841536
63.377004      34.242252      63.278766
64.840210      32.228321      61.841536
67.207727      32.997574      63.278766
58.641969      32.703746      60.404306
60.105175      30.689815      58.967076
62.472692      31.459068      60.404306
67.339665      52.955285      76.213835
69.707182      53.724538      77.651065
71.170388      51.710607      76.213835
62.604630      51.416779      73.339375
64.972147      52.186032      74.776605
66.435353      50.172101      73.339375
68.802871      50.941354      74.776605
70.266077      48.927424      73.339375
72.633595      49.696677      74.776605
74.096801      47.682746      73.339375
57.869595      49.878273      70.464916
60.237112      50.647526      71.902145
61.700319      48.633595      70.464916
64.067836      49.402848      71.902145
65.531042      47.388918      70.464916
67.898560      48.158171      71.902145
69.361766      46.144240      70.464916
71.729283      46.913493      71.902145
73.192490      44.899562      70.464916
75.560007      45.668815      71.902145
77.023213      43.654885      70.464916
53.134560      48.339767      67.590456
55.502077      49.109020      69.027686
56.965284      47.095089      67.590456
59.332801      47.864342      69.027686
60.796007      45.850411      67.590456
63.163525      46.619664      69.027686
64.626731      44.605734      67.590456
66.994249      45.374987      69.027686
68.457455      43.361056      67.590456
