        6524	IH
37.460581      14.394862      54.655387
35.997375      12.380931      53.218157
34.534168      30.506307      51.780927
33.070962      28.492376      50.343697
34.534168      26.478446      51.780927
33.070962      24.464515      50.343697
34.534168      22.450584      51.780927
33.070962      20.436654      50.343697
34.534168      18.422723      51.780927
33.070962      16.408792      50.343697
34.534168      14.394862      51.780927
31.607756      26.478446      48.906467
30.144550      24.464515      47.469237
31.607756      22.450584      48.906467
30.144550      20.436654      47.469237
31.607756      18.422723      48.906467
28.681343      22.450584      46.032007
44.776612      20.436654      56.092617
46.239818      18.422723      57.529847
44.776612      16.408792      56.092617
41.850200      24.464515      53.218157
43.313406      22.450584      54.655387
41.850200      20.436654      53.218157
43.313406      18.422723      54.655387
41.850200      16.408792      53.218157
43.313406      14.394862      54.655387
41.850200      12.380931      53.218157
38.923787      28.492376      50.343697
40.386993      26.478446      51.780927
38.923787      24.464515      50.343697
40.386993      22.450584      51.780927
38.923787      20.436654      50.343697
40.386993      18.422723      51.780927
38.923787      16.408792      50.343697
40.386993      14.394862      51.780927
35.997375      32.520238      47.469237
37.460581      30.506307      48.906467
35.997375      28.492376      47.469237
37.460581      26.478446      48.906467
35.997375      24.464515      47.469237
37.460581      22.450584      48.906467
35.997375      20.436654      47.469237
37.460581      18.422723      48.906467
34.534168      30.506307      46.032007
33.070962      28.492376      44.594778
34.534168      26.478446      46.032007
33.070962      24.464515      44.594778
34.534168      22.450584      46.032007
31.607756      26.478446      43.157548
47.703025      16.408792      53.218157
49.166231      14.394862      54.655387
47.703025      12.380931      53.218157
44.776612      20.436654      50.343697
46.239818      18.422723      51.780927
44.776612      16.408792      50.343697
46.239818      14.394862      51.780927
41.850200      24.464515      47.469237
43.313406      22.450584      48.906467
41.850200      20.436654      47.469237
43.313406      18.422723      48.906467
38.923787      28.492376      44.594778
40.386993      26.478446      46.032007
38.923787      24.464515      44.594778
40.386993      22.450584      46.032007
35.997375      32.520238      41.720318
37.460581      30.506307      43.157548
35.997375      28.492376      41.720318
37.460581      26.478446      43.157548
34.534168      30.506307      40.283088
35.997375      32.520238      67.590456
34.534168      30.506307      66.153226
33.070962      28.492376      64.715996
31.607756      26.478446      63.278766
30.144550      24.464515      61.841536
28.681343      22.450584      60.404306
27.218137      20.436654      58.967076
25.754931      18.422723      57.529847
24.291724      16.408792      56.092617
22.828518      14.394862      54.655387
21.365312      12.380931      53.218157
37.460581      30.506307      63.278766
38.923787      28.492376      64.715996
37.460581      26.478446      63.278766
35.997375      32.520238      61.841536
34.534168      30.506307      60.404306
35.997375      28.492376      61.841536
34.534168      26.478446      60.404306
35.997375      24.464515      61.841536
34.534168      22.450584      60.404306
33.070962      28.492376      58.967076
31.607756      26.478446      57.529847
33.070962      24.464515      58.967076
31.607756      22.450584      57.529847
33.070962      20.436654      58.967076
31.607756      18.422723      57.529847
